iter	Passed	Remaining
802	16559	14373
803	16581	14353
804	16604	14335
805	16625	14315
806	16649	14297
807	16664	14272
808	16679	14246
809	16699	14225
810	16716	14201
811	16735	14179
812	16758	14160
813	16774	14136
814	16796	14117
815	16819	14098
816	16841	14079
817	16861	14058
818	16883	14038
819	16905	14019
820	16927	13999
821	16950	13981
822	16972	13961
823	16995	13942
824	17016	13922
825	17038	13902
826	17057	13880
827	17077	13859
828	17097	13839
829	17118	13818
830	17141	13799
831	17164	13781
832	17188	13763
833	17210	13743
834	17231	13723
835	17251	13702
836	17272	13681
837	17295	13663
838	17316	13642
839	17333	13619
840	17356	13600
841	17380	13582
842	17404	13564
843	17428	13546
844	17451	13527
845	17471	13506
846	17491	13485
847	17512	13465
848	17535	13445
849	17550	13420
850	17572	13401
851	17594	13382
852	17615	13361
853	17637	13342
854	17661	13323
855	17683	13304
856	17705	13284
857	17726	13263
858	17747	13243
859	17767	13222
860	17784	13198
861	17805	13178
862	17827	13158
863	17850	13139
864	17872	13120
865	17894	13100
866	17915	13080
867	17934	13058
868	17956	13038
869	17979	13019
870	18002	13001
871	18025	12981
872	18046	12961
873	18067	12940
874	18088	12920
875	18111	12901
876	18134	12882
877	18157	12863
878	18179	12843
879	18195	12819
880	18218	12800
881	18242	12782
882	18266	12764
883	18290	12745
884	18313	12726
885	18334	12705
886	18351	12682
887	18373	12662
888	18396	12643
889	18418	12624
890	18439	12603
891	18462	12584
892	18484	12564
893	18506	12544
894	18529	12525
895	18550	12505
896	18572	12484
897	18595	12465
898	18617	12446
899	18641	12427
900	18663	12408
901	18685	12388
902	18709	12369
903	18729	12347
904	18747	12325
905	18769	12305
906	18792	12286
907	18814	12266
908	18836	12247
909	18857	12225
910	18876	12204
911	18898	12184
912	18918	12163
913	18939	12142
914	18959	12121
915	18980	12101
916	19003	12082
917	19022	12060
918	19044	12040
919	19067	12020
920	19086	11998
921	19108	11979
922	19131	11959
923	19154	11940
924	19179	11922
925	19202	11902
926	19223	11882
927	19244	11861
928	19266	11841
929	19287	11821
930	19309	11801
931	19332	11782
932	19356	11763
933	19380	11744
934	19403	11724
935	19423	11703
936	19444	11683
937	19459	11659
938	19479	11638
939	19504	11619
940	19520	11596
941	19541	11575
942	19564	11556
943	19580	11532
944	19605	11514
945	19626	11493
946	19645	11471
947	19663	11449
948	19677	11425
949	19689	11399
950	19708	11377
951	19728	11356
952	19751	11336
953	19775	11317
954	19797	11298
955	19817	11277
956	19840	11257
957	19854	11233
958	19879	11214
959	19901	11194
960	19922	11174
961	19946	11154
962	19967	11134
963	19982	11110
964	20003	11089
965	20027	11071
